"","ID","Rate","N","SD","signal"
"875",875,2,500,12,1
"876",876,0.5,100,1,1
"877",877,0.75,100,1,1
"878",878,1,100,1,1
"879",879,1.5,100,1,1
"880",880,2,100,1,1
"881",881,0.5,100,2,1
"882",882,0.75,100,2,1
"883",883,1,100,2,1
"884",884,1.5,100,2,1
"885",885,2,100,2,1
"886",886,0.5,100,3,1
"887",887,0.75,100,3,1
"888",888,1,100,3,1
"889",889,1.5,100,3,1
"890",890,2,100,3,1
"891",891,0.5,100,4,1
"892",892,0.75,100,4,1
"893",893,1,100,4,1
"894",894,1.5,100,4,1
"895",895,2,100,4,1
"896",896,0.5,100,6,1
"897",897,0.75,100,6,1
"898",898,1,100,6,1
"899",899,1.5,100,6,1
"900",900,2,100,6,1
"901",901,0.5,100,8,1
"902",902,0.75,100,8,1
"903",903,1,100,8,1
"904",904,1.5,100,8,1
"905",905,2,100,8,1
"906",906,0.5,100,12,1
"907",907,0.75,100,12,1
"908",908,1,100,12,1
"909",909,1.5,100,12,1
"910",910,2,100,12,1
"911",911,0.5,200,1,1
"912",912,0.75,200,1,1
"913",913,1,200,1,1
"914",914,1.5,200,1,1
"915",915,2,200,1,1
"916",916,0.5,200,2,1
"917",917,0.75,200,2,1
"918",918,1,200,2,1
"919",919,1.5,200,2,1
"920",920,2,200,2,1
"921",921,0.5,200,3,1
"922",922,0.75,200,3,1
"923",923,1,200,3,1
"924",924,1.5,200,3,1
"925",925,2,200,3,1
"926",926,0.5,200,4,1
"927",927,0.75,200,4,1
"928",928,1,200,4,1
"929",929,1.5,200,4,1
"930",930,2,200,4,1
"931",931,0.5,200,6,1
"932",932,0.75,200,6,1
"933",933,1,200,6,1
"934",934,1.5,200,6,1
"935",935,2,200,6,1
"936",936,0.5,200,8,1
"937",937,0.75,200,8,1
"938",938,1,200,8,1
"939",939,1.5,200,8,1
"940",940,2,200,8,1
"941",941,0.5,200,12,1
"942",942,0.75,200,12,1
"943",943,1,200,12,1
"944",944,1.5,200,12,1
"945",945,2,200,12,1
"946",946,0.5,300,1,1
"947",947,0.75,300,1,1
