"","ID","N","radius","startingAngle","sd1","sd2","signal"
"476",238,67,1,0.785398163397448,1,1,0
"477",239,67,1,0.785398163397448,0.2,0.25,1
"478",239,67,1,0.785398163397448,1,1,0
"479",240,67,1,0.785398163397448,0.2,0.333333333333333,1
"480",240,67,1,0.785398163397448,1,1,0
"481",241,67,1,0.785398163397448,0.25,0.125,1
"482",241,67,1,0.785398163397448,1,1,0
"483",242,67,1,0.785398163397448,0.25,0.142857142857143,1
"484",242,67,1,0.785398163397448,1,1,0
"485",243,67,1,0.785398163397448,0.25,0.166666666666667,1
"486",243,67,1,0.785398163397448,1,1,0
"487",244,67,1,0.785398163397448,0.25,0.2,1
"488",244,67,1,0.785398163397448,1,1,0
"489",245,67,1,0.785398163397448,0.25,0.25,1
"490",245,67,1,0.785398163397448,1,1,0
"491",246,67,1,0.785398163397448,0.25,0.333333333333333,1
"492",246,67,1,0.785398163397448,1,1,0
"493",247,67,1,0.785398163397448,0.333333333333333,0.125,1
"494",247,67,1,0.785398163397448,1,1,0
"495",248,67,1,0.785398163397448,0.333333333333333,0.142857142857143,1
"496",248,67,1,0.785398163397448,1,1,0
"497",249,67,1,0.785398163397448,0.333333333333333,0.166666666666667,1
"498",249,67,1,0.785398163397448,1,1,0
"499",250,67,1,0.785398163397448,0.333333333333333,0.2,1
"500",250,67,1,0.785398163397448,1,1,0
"501",251,67,1,0.785398163397448,0.333333333333333,0.25,1
"502",251,67,1,0.785398163397448,1,1,0
"503",252,67,1,0.785398163397448,0.333333333333333,0.333333333333333,1
"504",252,67,1,0.785398163397448,1,1,0
"505",253,100,1,0.785398163397448,0.125,0.125,1
"506",253,100,1,0.785398163397448,1,1,0
"507",254,100,1,0.785398163397448,0.125,0.142857142857143,1
"508",254,100,1,0.785398163397448,1,1,0
"509",255,100,1,0.785398163397448,0.125,0.166666666666667,1
"510",255,100,1,0.785398163397448,1,1,0
"511",256,100,1,0.785398163397448,0.125,0.2,1
"512",256,100,1,0.785398163397448,1,1,0
"513",257,100,1,0.785398163397448,0.125,0.25,1
"514",257,100,1,0.785398163397448,1,1,0
"515",258,100,1,0.785398163397448,0.125,0.333333333333333,1
"516",258,100,1,0.785398163397448,1,1,0
"517",259,100,1,0.785398163397448,0.142857142857143,0.125,1
"518",259,100,1,0.785398163397448,1,1,0
"519",260,100,1,0.785398163397448,0.142857142857143,0.142857142857143,1
"520",260,100,1,0.785398163397448,1,1,0
"521",261,100,1,0.785398163397448,0.142857142857143,0.166666666666667,1
"522",261,100,1,0.785398163397448,1,1,0
"523",262,100,1,0.785398163397448,0.142857142857143,0.2,1
"524",262,100,1,0.785398163397448,1,1,0
"525",263,100,1,0.785398163397448,0.142857142857143,0.25,1
"526",263,100,1,0.785398163397448,1,1,0
"527",264,100,1,0.785398163397448,0.142857142857143,0.333333333333333,1
